"date","freq"
"2016-10-13",43
"2016-09-09",43
"2016-04-07",43
"2015-09-23",43
"2015-09-19",43
"2015-06-24",43
"2015-02-10",43
"2017-06-21",42
"2016-10-19",42
"2016-09-17",42
"2016-09-03",42
"2016-09-01",42
"2016-03-08",42
"2015-11-10",42
"2015-11-06",42
"2015-11-02",42
"2015-04-15",42
"2015-04-14",42
"2015-01-22",42
"2015-01-09",42
"2018-03-30",41
"2017-06-19",41
"2016-11-07",41
"2016-10-27",41
"2016-08-12",41
"2015-11-22",41
"2015-10-11",41
"2015-06-30",41
"2015-06-07",41
"2015-05-13",41
"2015-01-18",41
"2015-01-14",41
"2015-01-13",41
"2015-01-05",41
"2017-05-03",40
"2016-09-14",40
"2016-09-13",40
"2016-03-13",40
"2015-10-31",40
"2015-09-24",40
"2015-06-10",40
"2015-05-23",40
"2015-05-08",40
"2015-05-07",40
"2015-01-17",40
"2015-01-04",40
"2017-08-17",39
"2017-04-06",39
"2016-11-08",39
"2016-10-17",39
"2016-10-14",39
"2016-09-04",39
"2015-11-05",39
"2015-10-16",39
"2015-10-12",39
"2015-09-30",39
"2015-09-13",39
"2015-04-24",39
"2015-02-12",39
"2018-03-29",38
"2018-03-28",38
"2016-10-26",38
"2016-10-12",38
"2016-04-09",38
"2015-11-01",38
"2015-06-21",38
"2015-05-19",38
"2015-04-23",38
"2018-03-21",37
"2017-11-02",37
"2017-01-20",37
"2017-01-06",37
"2016-10-28",37
"2016-10-22",37
"2016-03-02",37
"2016-02-25",37
"2015-04-21",37
"2015-03-12",37
"2015-02-23",37
"2015-01-08",37
"2015-01-03",37
"2017-08-15",36
"2017-06-20",36
"2016-10-15",36
"2015-11-29",36
"2015-10-19",36
"2015-10-09",36
"2015-09-26",36
"2015-07-14",36
"2015-05-12",36
"2015-03-11",36
"2015-02-13",36
"2018-03-25",35
"2017-10-28",35
"2016-10-18",35
"2016-08-07",35
"2016-03-16",35
"2016-03-07",35
"2015-10-25",35
"2015-10-07",35
"2015-10-01",35
"2015-09-29",35
"2015-05-25",35
"2018-09-04",34
"2018-05-24",34
"2018-02-05",34
"2017-08-20",34
"2017-06-22",34
"2017-01-16",34
"2016-12-06",34
"2016-11-01",34
"2016-09-08",34
"2015-10-20",34
"2015-10-13",34
"2015-10-08",34
"2015-09-20",34
"2015-04-11",34
"2015-03-20",34
"2017-04-04",33
"2017-02-05",33
"2017-01-22",33
"2016-10-23",33
"2016-09-11",33
"2016-03-11",33
"2015-09-28",33
"2015-06-28",33
"2015-06-11",33
"2015-04-25",33
"2015-02-05",33
"2017-02-26",32
"2017-01-21",32
"2016-12-02",32
"2016-10-24",32
"2016-04-21",32
"2016-04-13",32
"2015-07-07",32
"2015-06-25",32
"2015-06-13",32
"2015-02-06",32
"2015-02-04",32
"2017-05-02",31
"2016-12-01",31
"2016-11-21",31
"2016-10-25",31
"2016-04-06",31
"2016-03-10",31
"2016-03-09",31
"2016-03-06",31
"2015-11-07",31
"2017-09-23",30
"2017-04-17",30
"2016-11-18",30
"2016-11-16",30
